evaluation,split,model,seed,horizon_hours,metric,value
recalibrated,external_test,grud,20260914,3,patient_nll,0.8935047087111586
recalibrated,external_test,grud,20260914,3,mask_brier,0.06047569339262788
recalibrated,external_test,grud,20260914,6,patient_nmae,0.48199886170676065
recalibrated,external_test,grud,20260914,6,patient_crps,0.3616832413568067
recalibrated,external_test,grud,20260914,6,coverage_90,0.8897213465346979
recalibrated,external_test,grud,20260914,6,coverage_error_90,0.010278653465302101
recalibrated,external_test,grud,20260914,6,mean_interval_width_scaled,2.0676815558850703
recalibrated,external_test,grud,20260914,6,patient_nll,1.0066127402383767
recalibrated,external_test,grud,20260914,6,mask_brier,0.061480238198321276
recalibrated,external_test,grud,20260914,12,patient_nmae,0.5197925517479932
recalibrated,external_test,grud,20260914,12,patient_crps,0.3867799524418981
recalibrated,external_test,grud,20260914,12,coverage_90,0.8836179679945255
recalibrated,external_test,grud,20260914,12,coverage_error_90,0.0163820320054745
recalibrated,external_test,grud,20260914,12,mean_interval_width_scaled,2.168522536936691
recalibrated,external_test,grud,20260914,12,patient_nll,1.0886126864374712
recalibrated,external_test,grud,20260914,12,mask_brier,0.061442995692068264
recalibrated,external_test,grud,20260914,24,patient_nmae,0.5563406048696
recalibrated,external_test,grud,20260914,24,patient_crps,0.41297047386565133
recalibrated,external_test,grud,20260914,24,coverage_90,0.8865973718298354
recalibrated,external_test,grud,20260914,24,coverage_error_90,0.013402628170164577
recalibrated,external_test,grud,20260914,24,mean_interval_width_scaled,2.325036183496425
recalibrated,external_test,grud,20260914,24,patient_nll,1.1545976643928144
recalibrated,external_test,grud,20260914,24,mask_brier,0.06512483990771613
zero_shot,internal_test,grud,20260915,1,patient_nmae,0.35175554417962945
zero_shot,internal_test,grud,20260915,1,patient_crps,0.2642748696439383
zero_shot,internal_test,grud,20260915,1,coverage_90,0.8626437801956565
zero_shot,internal_test,grud,20260915,1,coverage_error_90,0.03735621980434356
zero_shot,internal_test,grud,20260915,1,mean_interval_width_scaled,1.383434783868909
zero_shot,internal_test,grud,20260915,1,patient_nll,0.6412138099949637
zero_shot,internal_test,grud,20260915,1,mask_brier,0.07654761091228572
zero_shot,internal_test,grud,20260915,3,patient_nmae,0.412955789704769
zero_shot,internal_test,grud,20260915,3,patient_crps,0.30630931063380473
zero_shot,internal_test,grud,20260915,3,coverage_90,0.8503231614393187
zero_shot,internal_test,grud,20260915,3,coverage_error_90,0.04967683856068128
zero_shot,internal_test,grud,20260915,3,mean_interval_width_scaled,1.5638411283942912
zero_shot,internal_test,grud,20260915,3,patient_nll,0.8286839648397563
zero_shot,internal_test,grud,20260915,3,mask_brier,0.07716695829754582
zero_shot,internal_test,grud,20260915,6,patient_nmae,0.4550251522588667
zero_shot,internal_test,grud,20260915,6,patient_crps,0.33603781373418473
zero_shot,internal_test,grud,20260915,6,coverage_90,0.849280139909991
zero_shot,internal_test,grud,20260915,6,coverage_error_90,0.05071986009000906
zero_shot,internal_test,grud,20260915,6,mean_interval_width_scaled,1.7051401045308245
zero_shot,internal_test,grud,20260915,6,patient_nll,0.955614478774068
zero_shot,internal_test,grud,20260915,6,mask_brier,0.07473353551902873
zero_shot,internal_test,grud,20260915,12,patient_nmae,0.49782016513032723
zero_shot,internal_test,grud,20260915,12,patient_crps,0.3636816902849812
zero_shot,internal_test,grud,20260915,12,coverage_90,0.8450036674417283
zero_shot,internal_test,grud,20260915,12,coverage_error_90,0.05499633255827174
zero_shot,internal_test,grud,20260915,12,mean_interval_width_scaled,1.8422077923834221
zero_shot,internal_test,grud,20260915,12,patient_nll,1.0196285703341934
zero_shot,internal_test,grud,20260915,12,mask_brier,0.07305726540245579
